infection,day,count
HAP,1,11
HAP,2,27
HAP,3,31
HAP,4,33
HAP,5,41
HAP,6,33
HAP,7,39
HAP,8,32
HAP,9,26
HAP,10,13
HAP,11,19
HAP,12,10
HAP,13,12
HAP,14,10
HAP,15,9
HAP,16,7
HAP,17,6
HAP,18,8
HAP,19,2
HAP,20,1
HAP,21,4
HAP,22,4
HAP,23,2
HAP,24,4
HAP,25,1
HAP,26,0
HAP,27,1
HAP,28,1
HAP,29,2
HAP,30,0
HAP,31,1
HAP,32,0
HAP,33,5
HAP,34,1
HAP,35,0
HAP,36,0
HAP,37,0
HAP,38,1
HAP,39,1
HAP,40,1
HAP,41,0
HAP,42,0
HAP,43,0
HAP,44,2
HAP,45,0
HAP,46,0
HAP,47,0
HAP,48,0
HAP,49,0
HAP,50,0
HAP,51,0
HAP,52,0
HAP,53,0
HAP,54,0
HAP,55,0
HAP,56,1
HAP,57,0
HAP,58,2
HAP,59,0
HAP,60,0
HAP,61,1
HAP,62,0
HAP,63,0
HAP,64,0
HAP,65,0
HAP,66,0
HAP,67,0
HAP,68,0
HAP,69,0
HAP,70,0
HAP,71,0
HAP,72,0
HAP,73,0
HAP,74,0
HAP,75,0
HAP,76,0
HAP,77,0
HAP,78,0
HAP,79,0
HAP,80,0
HAP,81,0
HAP,82,0
HAP,83,0
HAP,84,0
HAP,85,0
HAP,86,0
HAP,87,0
HAP,88,0
HAP,89,0
HAP,90,0
HAP,91,0
HAP,92,0
HAP,93,0
HAP,94,0
HAP,95,0
HAP,96,0
HAP,97,0
HAP,98,0
HAP,99,0
HAP,100,0
HAP,101,1
HAP,102,0
HAP,103,0
HAP,104,0
HAP,105,0
HAP,106,0
HAP,107,0
HAP,108,0
HAP,109,0
HAP,110,0
HAP,111,0
HAP,112,0
HAP,113,0
HAP,114,0
HAP,115,0
HAP,116,0
HAP,117,0
HAP,118,0
HAP,119,0
HAP,120,0
HAP,121,0
HAP,122,0
HAP,123,0
HAP,124,0
HAP,125,0
HAP,126,0
HAP,127,0
HAP,128,0
HAP,129,0
HAP,130,0
HAP,131,0
HAP,132,0
HAP,133,0
HAP,134,0
HAP,135,0
HAP,136,0
HAP,137,0
HAP,138,0
HAP,139,0
HAP,140,0
HAP,141,0
HAP,142,0
HAP,143,0
HAP,144,0
HAP,145,0
HAP,146,0
HAP,147,0
HAP,148,0
HAP,149,0
HAP,150,0
HAP,151,0
HAP,152,0
HAP,153,0
HAP,154,0
HAP,155,0
HAP,156,0
HAP,157,0
HAP,158,0
HAP,159,0
HAP,160,0
HAP,161,0
HAP,162,0
HAP,163,0
HAP,164,0
HAP,165,0
HAP,166,0
HAP,167,0
HAP,168,0
HAP,169,0
HAP,170,0
HAP,171,2
SSI,1,13
SSI,2,45
SSI,3,41
SSI,4,43
SSI,5,35
SSI,6,33
SSI,7,28
SSI,8,32
SSI,9,19
SSI,10,19
SSI,11,20
SSI,12,12
SSI,13,23
SSI,14,13
SSI,15,12
SSI,16,11
